Siglent Technologies,SSA5085A,SSA5AA4D900088,1.9.0.2.2R3
PMA Benchtop NPD v2.00,,,
Frequency Start = 2.0 GHz,,,
Frequency Stop = 5.0 GHz,,,
Frequency Step = 0.3 MHz,,,
Number of Frequency Points = 10001.0,,,
Number of Averages = 10.0,,,
Resolution Bandwidth = 10.0 KHz,,,
,,,
Freq(GHz),Raw Data,dBm/Hz,
2.1926,-119.8182,-159.8182,
2.1929,-118.895,-158.895,
2.1932,-120.811,-160.811,
2.1935,-119.4947,-159.4947,
2.1938,-118.7845,-158.7845,
2.1941,-118.8207,-158.8207,
2.1944,-118.8258,-158.8258,
2.1947,-119.2971,-159.2971,
2.195,-118.8915,-158.8915,
2.1953,-118.6093,-158.6093,
2.1956,-120.3118,-160.3118,
2.1959,-118.7141,-158.7141,
2.1962,-118.7937,-158.7937,
2.1965,-118.6697,-158.6697,
2.1968,-117.604,-157.604,
2.1971,-119.734,-159.734,
2.1974,-116.6511,-156.6511,
2.1977,-118.9292,-158.9292,
2.198,-118.7091,-158.7091,
2.1983,-116.7971,-156.7971,
2.1986,-116.7533,-156.7533,
2.1989,-117.1314,-157.1314,
2.1992,-118.6922,-158.6922,
2.1995,-120.7864,-160.7864,
2.1998,-117.94,-157.94,
2.2001,-118.4833,-158.4833,
2.2004,-119.284,-159.284,
2.2007,-118.2075,-158.2075,
2.201,-119.2554,-159.2554,
2.2013,-118.0903,-158.0903,
2.2016,-118.5948,-158.5948,
2.2019,-118.3236,-158.3236,
2.2022,-119.4496,-159.4496,
2.2025,-118.176,-158.176,
2.2028,-119.5053,-159.5053,
2.2031,-117.6141,-157.6141,
2.2034,-118.7409,-158.7409,
2.2037,-120.057,-160.057,
2.204,-119.8482,-159.8482,
2.2043,-119.9926,-159.9926,
2.2046,-118.396,-158.396,
2.2049,-119.2612,-159.2612,
2.2052,-119.3608,-159.3608,
2.2055,-119.0861,-159.0861,
2.2058,-119.1174,-159.1174,
2.2061,-119.3147,-159.3147,
2.2064,-116.0528,-156.0528,
2.2067,-118.4318,-158.4318,
2.207,-118.1964,-158.1964,
2.2073,-120.0042,-160.0042,
2.2076,-118.6713,-158.6713,
2.2079,-117.8936,-157.8936,
2.2082,-120.4437,-160.4437,
2.2085,-118.9517,-158.9517,
2.2088,-118.1053,-158.1053,
2.2091,-118.5298,-158.5298,
2.2094,-118.7178,-158.7178,
2.2097,-119.7455,-159.7455,
2.21,-119.5432,-159.5432,
2.2103,-118.659,-158.659,
2.2106,-119.6812,-159.6812,
2.2109,-119.0572,-159.0572,
2.2112,-119.1105,-159.1105,
2.2115,-120.6446,-160.6446,
2.2118,-119.4293,-159.4293,
2.2121,-119.3812,-159.3812,
2.2124,-119.4116,-159.4116,
2.2127,-119.6599,-159.6599,
2.213,-118.301,-158.301,
2.2133,-118.7741,-158.7741,
2.2136,-118.4323,-158.4323,
2.2139,-119.3398,-159.3398,
2.2142,-119.7327,-159.7327,
2.2145,-118.5739,-158.5739,
2.2148,-118.704,-158.704,
2.2151,-119.0572,-159.0572,
2.2154,-118.7913,-158.7913,
2.2157,-120.5858,-160.5858,
2.216,-118.6041,-158.6041,
2.2163,-119.1394,-159.1394,
2.2166,-119.2629,-159.2629,
2.2169,-119.8107,-159.8107,
2.2172,-118.0294,-158.0294,
2.2175,-117.7182,-157.7182,
2.2178,-117.8533,-157.8533,
2.2181,-119.1539,-159.1539,
2.2184,-119.1866,-159.1866,
2.2187,-118.0533,-158.0533,
2.219,-118.1179,-158.1179,
2.2193,-117.8584,-157.8584,
2.2196,-118.5302,-158.5302,
2.2199,-118.8681,-158.8681,
2.2202,-118.7397,-158.7397,
